;Scavenger Free;Unnamed: 1_level_0;Mn;Unnamed: 3_level_0;Co;Unnamed: 5_level_0;Cr;Unnamed: 7_level_0
;X;Y;X;Y;X;Y;X;Y
54;83.72706193;0.8083418;92.89854631;0.978207239;135.3827573;0.929927509;81.20347954;0.990683559
55;85.93795479;0.800170208;95.78329634;0.961752847;136.0536204;0.970912993;84.16763971;1.007204025
56;88.6277911;0.820154496;97.76690154;0.9283786;136.1798951;0.942946751;85.36065528;1.014410436
57;89.69285554;0.847651106;98.45123682;0.944456944;136.3806445;0.952908996;86.54718471;0.991917699
58;89.69637696;0.863775166;100.4415143;0.965250654;140.1565755;0.966793337;90.30600351;1.010105551
59;90.16677512;0.835484549;102.4191948;0.928364802;140.5457636;0.930349163;91.09540446;0.987698736
60;90.2322686;0.799650398;103.2170261;0.944559333;140.5481303;0.941185929;94.6276855;1.015606458
61;92.86682494;0.832959612;104.8096349;0.962965472;140.9475676;0.951671944;94.88966357;1.002846254
62;93.20355245;0.816089203;107.5016685;0.92373536;144.9136742;0.927102654;95.71677203;0.987780368
63;94.84481848;0.79750701;107.5828691;0.93184522;145.3076338;0.912506799;100.0534905;1.007025819
64;97.89395184;0.817369268;107.5856099;0.944394895;145.313436;0.939074356;100.6450693;0.988059711
65;99.61009753;0.795273086;111.9504934;0.927287813;145.7129497;0.949909944;102.6297354;0.983159798
66;101.8019164;0.829655862;112.3506942;0.941269559;149.6163939;0.898201464;105.0826957;1.000951632
67;102.0039159;0.845342366;116.715392;0.92331185;149.8606656;0.930321536;106.9801804;0.9825987
68;103.1081326;0.809647654;117.3994365;0.938058486;150.4783318;0.948147944;108.3947988;1.012594253
69;104.7727889;0.79425275;121.2645626;0.923446661;152.0531967;0.885307466;110.378167;1.001751597
70;104.7839829;0.845508908;121.8822983;0.941590863;153.9365666;0.936152315;111.565199;0.981560216
71;107.8751286;0.815275629;125.851096;0.929344025;154.0469861;0.922181539;114.745715;0.996844617
72;109.1412053;0.793322164;126.2449347;0.914194679;154.831018;0.875190731;115.0322598;1.009977736
73;112.3225993;0.812626655;126.6485583;0.943848954;155.065121;0.907983345;116.2949367;0.981903706
74;112.7230291;0.827657121;130.6130044;0.911676449;157.2189514;0.898313751;119.5111735;0.995432189
75;113.5087113;0.788222919;130.6167072;0.928630744;159.0639824;0.860204786;119.9115556;1.010244172
76;114.3053472;0.798943718;131.414055;0.942611313;159.3806791;0.877571285;121.2294208;0.982958978
