;Baseline;Unnamed: 1_level_0;Synthesized;Unnamed: 3_level_0;Commercial;Unnamed: 5_level_0
;X;Y;X;Y;X;Y
71;197.3117039;0.750724164;71.68851636;0.146212806;123.2120289;0.084796214
72;201.2828713;0.749307726;71.69108651;0.133418599;123.3194041;0.099367537
73;205.2543956;0.746114314;71.69451338;0.116359656;123.4613335;1.040097573
74;209.2258129;0.743453995;71.75177061;0.380418015;123.466331;1.015219948
75;213.1970517;0.741682162;71.98018556;1.000439957;123.4721852;0.986077588
76;217.1683262;0.739732632;72.17277547;1.030080127;123.795096;1.025882215
77;221.1398149;0.736716917;73.16856583;1.014799443;123.9987162;1.000613914
78;225.1112679;0.733878901;77.47188943;1.007164027;127.5070567;0.996993429
79;229.0824353;0.732462462;79.13295599;0.974647559;130.6846188;0.992732806
80;233.0534599;0.731756813;79.13641856;0.957410919;134.3909144;0.992044584
81;236.6937776;0.730055631;79.46113203;0.988241832;138.3618677;0.991694329
82;240.1298862;0.097652926;81.44402064;1.000949761;142.222239;0.992735894
83;244.3018287;0.744032493;85.41540223;0.998467139;143.5918482;0.983473711
84;248.2734959;0.740128292;89.38642685;0.99776149;144.1691039;0.086600317
85;252.2450916;0.736579486;93.35748717;0.996878143;144.3231522;0.967002112
86;256.2164375;0.734274561;95.03890075;0.863074204;144.3872311;0.098932796
87;260.1877477;0.732147333;95.0414709;0.850279997;144.4952273;0.110412186
88;264.6247548;0.059035458;95.04404105;0.83748579;144.6421867;0.127600558
89;264.9492095;0.091154676;95.1677795;0.880417634;144.8324168;1.020426215
90;265.0641791;0.067920895;95.31569163;0.144111023;145.1751034;1.008850945
91;268.7902184;0.737667088;95.34953194;0.96400671;145.6332327;1.034439958
92;272.7619213;0.73358519;95.35210209;0.951212503;146.302614;0.996768983
93;276.7334813;0.730214081;95.35467224;0.938418296;146.3053269;0.983263987
94;280.704506;0.729508432;95.35724239;0.925624089;146.6388039;0.970470209
95;284.6755306;0.728802783;95.35981254;0.912829882;146.806292;0.136714388
96;289.1036492;0.099937539;95.36238269;0.900035675;146.809826;0.119122353
97;289.1062194;0.087143332;95.3776965;0.823803525;148.9477981;1.007078855
98;289.1087895;0.074349126;95.38026665;0.811009318;150.6043045;0.99726322
99;289.1121807;0.05746788;95.38284751;0.798161802;153.9131139;0.998555809
100;292.6169016;0.730767734;95.38540695;0.785420904;156.5613679;0.993583711
101;296.5887472;0.725975047;95.3879771;0.772626697;159.8699364;0.996075757
102;300.5605215;0.721537754;95.39054725;0.75983249;162.5180476;0.991814448
103;304.5321886;0.717633553;95.3931174;0.747038283;166.1578085;0.992885344
104;308.5036059;0.714973234;95.39568755;0.734244076;167.8148592;0.980359825
105;312.2661271;0.104943049;95.3982577;0.721449869;168.821255;0.088657979
106;312.2686973;0.092148843;95.40082785;0.708655662;169.0011655;1.005043524
107;312.2710532;0.080420819;95.403398;0.695861455;169.8218786;0.872944366
108;312.8044308;0.71977663;95.40596815;0.683067248;170.7940379;0.975299306
109;316.1141558;0.716511283;95.4085383;0.670273041;170.796608;0.962505099
110;322.402442;0.711259581;95.41110845;0.657478834;170.7991782;0.949710892
111;326.374002;0.707888472;95.4136786;0.644684627;170.8017483;0.936916685
112;330.3458477;0.703095785;95.41624875;0.63189042;170.8043185;0.924122478
113;333.324723;0.699545694;95.4188189;0.619096213;170.8068886;0.911328272
