;Baseline;Unnamed: 1_level_0;CeO2;Unnamed: 3_level_0
;X;Y;X;Y
0;3.65567138;0.967359043;1.579735913;0.957635388
1;4.060029741;0.980522341;2.48759144;0.94297969
2;14.07570981;0.974163226;14.70670182;0.96464535
3;14.71296663;0.962083001;16.03432359;0.948312666
4;17.55465667;0.999434174;25.37163379;0.937707093
5;18.29281623;1.012442285;30.36036459;0.954324702
6;19.96202292;0.986768188;38.71660577;0.938830029
7;28.68224002;0.96454752;43.89610004;0.930648108
8;29.06581989;0.999237331;49.9641961;0.952447563
9;30.32867366;0.987156508;54.14710023;0.939744482
10;34.27035085;0.9774625;59.41386415;0.927566912
11;47.86893216;0.962748212;66.64603394;0.953205953
12;48.859797;0.973200778;72.248806;0.922874849
13;49.09060266;0.993333251;72.91572618;0.938983182
14;49.10106665;0.98249256;77.90991819;0.949942982
15;56.36683353;1.004748901;82.59449576;0.911310283
16;63.22706494;0.976903851;87.23115254;0.922323523
17;64.13422856;0.962964966;87.92963436;0.939402459
18;65.0035937;0.988185311;88.07359255;0.956546553
19;71.04198304;1.001294014;94.17812956;0.94713983
20;78.50838351;0.978050747;97.97296925;0.904392947
21;78.89383195;0.967596865;102.9872745;0.894515392
22;80.01510157;0.991091309;106.4669165;0.919066208
23;88.0259873;1.005865595;107.9463449;0.941861197
24;88.73296961;0.971304266;107.9557411;0.932126699
25;94.14688709;0.979507035;111.9836501;0.90716716
26;95.02968457;0.990811472;112.6524911;0.880883401
27;102.6944942;1.009292435;113.5717409;0.940464834
28;109.1589715;0.981815689;115.5017024;0.891924897
29;109.4187176;0.971965908;122.9821976;0.919545997
30;110.3963131;0.996165503;126.7763646;0.877496016
31;114.1828813;0.961987929;128.0007258;0.905293448
32;115.0463967;1.012721489;129.2931777;0.862548957
33;124.1753911;0.979633201;129.8905219;0.891818224
34;125.4144268;0.992227855;130.4923506;0.916441481
35;128.9421485;1.016722544;137.315528;0.84730239
36;129.0002712;0.956507435;143.0449279;0.806243115
37;131.6578893;1.005179082;143.465004;0.871207957
38;132.9457072;0.967235469;144.4985488;0.900291905
39;139.1810178;0.98863211;144.5123851;0.835454833
40;144.1657922;1.009348532;144.8153282;0.891958826
41;144.2079471;0.965676036;148.1037393;0.818342299
42;144.7312319;0.979082581;151.5705281;0.856209097
43;145.1600404;1.014986613;154.9948978;0.808398422
44;155.4406636;0.994702837;159.9641669;0.877911532
45;156.7408484;1.017269451;160.564056;0.871811081
46;159.7422272;0.982519553;162.247861;0.855703317
47;162.9762399;0.965259868;163.5118252;0.780746546
48;163.9320846;1.01199335;163.5160962;0.838047282
49;170.6377074;1.020123552;163.9436339;0.755183714
50;171.0792419;0.996081692;164.111527;0.826090991
51;172.9396641;1.013037835;165.016333;0.796076927
52;173.9675266;0.985160817;166.6350543;0.764303847
53;181.3207199;0.971835238;168.1349002;0.805830559
54;185.4690288;0.994972808;169.6243142;0.818280432
55;186.0817371;1.020108791;173.1082838;0.838347848
56;187.6831557;0.96103916;173.1513356;0.793746149
57;191.1969727;0.986471779;173.1620986;0.782595724
58;195.5010668;0.971666818;175.6860123;0.760292483
59;200.7546724;1.018947813;176.928237;0.769583308
60;202.9997095;0.980487062;177.1978491;0.749512304
61;204.8048696;0.99577492;178.9274565;0.735333695
62;207.9737031;1.012372493;181.9784562;0.722498953
63;211.5921379;0.967204547;185.7377184;0.716610419
64;212.3371411;1.019510219;;
65;218.0148734;0.979605456;;
66;219.501208;0.995245589;;
67;224.2406318;1.010898099;;
68;227.7811708;1.019495458;;
69;233.0382291;0.970237138;;
70;234.2783012;0.981758048;;
71;234.9587195;0.996975648;;
72;236.7517486;1.011737909;;
73;240.1352875;1.020630604;;
74;247.7455125;1.000267253;;
75;250.5471703;0.97827348;;
76;255.5404355;0.990193457;;
77;257.8931539;1.023481014;;
78;261.5647323;0.970953234;;
79;264.2754731;1.014344339;;
80;264.2860865;1.003348781;;
81;269.8357582;0.994361199;;
82;271.0250075;1.018880649;;
83;271.0764876;0.965547267;;
84;279.3288155;0.973909699;;
85;280.5464392;1.008687208;;
86;285.6929609;1.022880967;;
87;285.8760576;0.99620427;;
88;288.0660274;0.964384075;;
89;293.0506904;1.016639839;;
90;293.436363;0.987436004;;
91;294.9391411;1.004558418;;
92;300.363682;1.024013898;;
93;301.8451484;0.979231085;;
94;301.9595651;0.970679039;;
95;307.5273675;0.997525755;;
96;309.3305616;1.001757059;;
97;311.40273;1.015383363;;
98;317.3388295;1.037761114;;
99;317.4002735;0.974105141;;
100;321.8593177;0.984322562;;
101;323.0968336;0.998491697;;
102;324.3413007;1.005459517;;
103;325.5810141;1.017352107;;
104;326.068038;1.03128966;;
105;327.3752346;1.040045428;;
106;329.7527295;0.976960718;;
107;338.1228203;0.98639772;;
108;339.3560759;1.004980565;;
109;339.5238627;1.016329934;;
110;344.3370833;1.029599636;;
111;344.366435;1.037161804;;
112;347.5123802;0.980581238;;
113;353.1248394;0.999134086;;
114;355.6142717;1.012553502;;
115;356.7238729;1.034856086;;
116;362.7342676;0.981573324;;
117;364.3584279;1.027257497;;
118;366.573355;1.001005446;;
119;369.9105127;1.015769918;;
120;370.621839;1.036563233;;
121;371.4516096;0.976920863;;
122;381.4772617;1.007366554;;
123;384.5209122;1.037123425;;
124;385.3512364;0.976907578;;
125;385.6628068;0.991927489;;
126;388.7625388;1.021194364;;
127;397.4077056;1.008827725;;
128;400.7376969;1.036534448;;
129;401.5674675;0.976892078;;
130;401.8942447;1.027221621;;
131;405.6793081;0.994603041;;
132;411.605348;1.012345119;;
